数据分类,指标名称,指标代码,单位,频率,数据日期,数值,同比(%),年初至今(%),备注,数据来源
全国大盘,全国酒店RevPAR,,元,周,2020-06-21T00:00:00Z,94.0758,-29.12,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-06-28T00:00:00Z,54.27,-17.01,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-06-28T00:00:00Z,171.59,-15.93,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-06-28T00:00:00Z,93.1219,-30.23,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-07-05T00:00:00Z,57.09,-13.3,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-07-05T00:00:00Z,166.5,-20.53,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-07-05T00:00:00Z,95.0548,-31.1,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-07-12T00:00:00Z,63.48,-6.85,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-07-12T00:00:00Z,174.03,-19.44,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-07-12T00:00:00Z,110.4742,-24.96,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-07-19T00:00:00Z,65.63,-7.52,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-07-19T00:00:00Z,177.53,-20.96,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-07-19T00:00:00Z,116.5129,-26.9,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-07-26T00:00:00Z,66.77,-7.15,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-07-26T00:00:00Z,183.22,-20.78,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-07-26T00:00:00Z,122.336,-26.44,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-08-02T00:00:00Z,67.29,-5.08,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-08-02T00:00:00Z,187.8,-19.85,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-08-02T00:00:00Z,126.3706,-23.92,,,酒店之家(STR)
